Episode,Avg Reward,Steps,Total Reward
679,-0.759941089837997,8,-516
680,-0.7602941176470588,1,-517
681,-0.7606461086637298,4,-518
682,-0.7609970674486803,17,-519
683,-0.7598828696925329,100,-519
684,-0.7573099415204678,36,-518
685,-0.7547445255474453,24,-517
686,-0.7551020408163265,11,-518
687,-0.7554585152838428,31,-519
688,-0.7558139534883721,26,-520
689,-0.7561683599419449,1,-521
690,-0.7536231884057971,65,-520
691,-0.7539797395079595,12,-521
692,-0.7514450867052023,40,-520
693,-0.7489177489177489,27,-519
694,-0.7463976945244957,34,-518
695,-0.7438848920863309,45,-517
696,-0.7442528735632183,11,-518
697,-0.7446197991391679,1,-519
698,-0.7449856733524355,1,-520
699,-0.7453505007153076,1,-521
700,-0.7428571428571429,44,-520
701,-0.7432239657631954,27,-521
702,-0.7435897435897436,1,-522
703,-0.7439544807965861,32,-523
704,-0.7414772727272727,41,-522
705,-0.7418439716312056,1,-523
706,-0.7393767705382436,40,-522
707,-0.7369165487977369,35,-521
708,-0.7372881355932204,5,-522
709,-0.7376586741889986,5,-523
710,-0.7352112676056338,53,-522
711,-0.7355836849507735,1,-523
712,-0.7359550561797753,41,-524
713,-0.7363253856942497,33,-525
714,-0.7366946778711485,9,-526
715,-0.737062937062937,5,-527
716,-0.7374301675977654,34,-528
717,-0.7377963737796374,35,-529
718,-0.7353760445682451,30,-528
719,-0.7357440890125174,36,-529
720,-0.7361111111111112,20,-530
721,-0.7364771151178918,9,-531
722,-0.7340720221606648,48,-530
723,-0.7344398340248963,23,-531
724,-0.7348066298342542,3,-532
725,-0.7351724137931035,11,-533
726,-0.7355371900826446,1,-534
727,-0.7359009628610729,1,-535
728,-0.7362637362637363,15,-536
729,-0.7366255144032922,3,-537
730,-0.736986301369863,1,-538
731,-0.7373461012311902,5,-539
732,-0.7377049180327869,5,-540
733,-0.73806275579809,62,-541
734,-0.7356948228882834,85,-540
735,-0.7360544217687075,16,-541
736,-0.7336956521739131,26,-540
737,-0.7340569877883311,5,-541
738,-0.7344173441734417,12,-542
739,-0.7347767253044655,65,-543
740,-0.7351351351351352,21,-544
741,-0.7327935222672065,42,-543
742,-0.7331536388140162,70,-544
